7,40,7.95%,36.78%
16,39,7.75%,
3,37,7.36%,
12,35,6.96%,
1,34,6.76%,
2,33,6.56%,
4,32,6.36%,
11,32,6.36%,
6,30,5.96%,
9,30,5.96%,
14,30,5.96%,
5,28,5.57%,
10,28,5.57%,
8,26,5.17%,
15,25,4.97%,
13,24,4.77%,
